Date : 2026-07-16 23:17:07
Directory : c:\Users\chris\Desktop\dandilion
Total : 239 files,  33779 codes, 1066 comments, 6211 blanks, all 41056 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\ContentArea.tsx        | TypeScript JSX     |         47 |          6 |          4 |         57 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\ContentSlot.tsx        | TypeScript JSX     |         38 |          7 |          7 |         52 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\DownloadsPopover.tsx   | TypeScript JSX     |        178 |          5 |         13 |        196 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\FindBar.tsx            | TypeScript JSX     |        102 |          1 |          7 |        110 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\HorizontalTabStrip.tsx | TypeScript JSX     |         90 |          1 |          5 |         96 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\PermissionPrompt.tsx   | TypeScript JSX     |         93 |          1 |          8 |        102 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\Sidebar.tsx            | TypeScript JSX     |        170 |          3 |         18 |        191 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\TabContextMenu.tsx     | TypeScript JSX     |        127 |          1 |          9 |        137 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\TabGroupHeader.tsx     | TypeScript JSX     |        126 |          2 |          7 |        135 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\TabItem.tsx            | TypeScript JSX     |        145 |          2 |         11 |        158 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\TabPreview.tsx         | TypeScript JSX     |         40 |          1 |          4 |         45 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\TabSwitcher.tsx        | TypeScript JSX     |         86 |          1 |          5 |         92 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\TitleBar.tsx           | TypeScript JSX     |         47 |          5 |          6 |         58 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\Toolbar.tsx            | TypeScript JSX     |        138 |          1 |          8 |        147 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\WorkspaceBar.tsx       | TypeScript JSX     |        198 |          1 |         12 |        211 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\ZoomControl.tsx        | TypeScript JSX     |         63 |          1 |          6 |         70 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\omnibox\Omnibox.tsx           | TypeScript JSX     |        243 |          2 |         14 |        259 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\palette\CommandPalette.tsx    | TypeScript JSX     |        117 |          2 |         10 |        129 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\reader\ReaderView.tsx         | TypeScript JSX     |        121 |          1 |          6 |        128 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\sessions\SessionsDialog.tsx   | TypeScript JSX     |        135 |          1 |         11 |        147 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Button.tsx                 | TypeScript JSX     |         82 |          8 |          7 |         97 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\ConfirmDialog.tsx          | TypeScript JSX     |         60 |          4 |          3 |         67 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\EmptyState.tsx             | TypeScript JSX     |         44 |          8 |          3 |         55 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Favicon.tsx                | TypeScript JSX     |         19 |          1 |          3 |         23 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Icon.tsx                   | TypeScript JSX     |         22 |          2 |          5 |         29 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\IconButton.tsx             | TypeScript JSX     |         27 |          1 |          3 |         31 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\IconTile.tsx               | TypeScript JSX     |         25 |          1 |          4 |         30 |
