"filename", "language", "Markdown", "YAML", "JSON", "TypeScript", "TypeScript JSX", "JavaScript", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\chris\Desktop\dandilion\src\renderer\components\sessions\SessionsDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Favicon.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 9, 1, 14
"c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\List.tsx", "TypeScript JSX", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, -4
"c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\SegmentedControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 7, 1, 23
"c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 9, 0, 23
"c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 5, 0, 11
"c:\Users\chris\Desktop\dandilion\src\renderer\components\ui\Tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 11
"c:\Users\chris\Desktop\dandilion\src\renderer\hooks\useModalOverlay.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 23, 5, 55
"c:\Users\chris\Desktop\dandilion\src\renderer\index.html", "HTML", 0, 0, 0, 0, 0, 0, -3, 0, 0, 9, 0, 6
"c:\Users\chris\Desktop\dandilion\src\renderer\lib\commands.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 9, 1, 22
"c:\Users\chris\Desktop\dandilion\src\renderer\lib\history.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 9, 4, 46
"c:\Users\chris\Desktop\dandilion\src\renderer\lib\navigation.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 9, 3, 26
"c:\Users\chris\Desktop\dandilion\src\renderer\main.tsx", "TypeScript JSX", 0, 0, 0, 0, -1, 0, 0, 0, 0, 9, 2, 10
"c:\Users\chris\Desktop\dandilion\src\renderer\pages\AboutPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 0, 39
"c:\Users\chris\Desktop\dandilion\src\renderer\pages\ExtensionsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\chris\Desktop\dandilion\src\renderer\pages\HistoryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, -36, 0, 0, 0, 0, -4, -3, -43
"c:\Users\chris\Desktop\dandilion\src\renderer\pages\SettingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 7, 2, 55
"c:\Users\chris\Desktop\dandilion\src\renderer\popup\PopupApp.tsx", "TypeScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 22, 12, 139
"c:\Users\chris\Desktop\dandilion\src\renderer\popup\usePopupTrigger.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 13, 6, 53
"c:\Users\chris\Desktop\dandilion\src\renderer\providers\AppProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\chris\Desktop\dandilion\src\renderer\stores\ai.store.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\chris\Desktop\dandilion\src\renderer\stores\browser.store.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 8, 2, 25
"c:\Users\chris\Desktop\dandilion\src\renderer\stores\ui.store.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\chris\Desktop\dandilion\src\renderer\stores\update.store.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 25, 8, 59
"c:\Users\chris\Desktop\dandilion\src\renderer\styles\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 1, 11
"c:\Users\chris\Desktop\dandilion\src\shared\constants\app.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 16, 2, 20
"c:\Users\chris\Desktop\dandilion\src\shared\constants\commands.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 8, 2, 23
"c:\Users\chris\Desktop\dandilion\src\shared\constants\limits.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\chris\Desktop\dandilion\src\shared\constants\settings.defaults.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\chris\Desktop\dandilion\src\shared\schemas\ai.schema.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 3
"c:\Users\chris\Desktop\dandilion\src\shared\schemas\browsing.schema.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, 5, 0, 4
"c:\Users\chris\Desktop\dandilion\src\shared\schemas\popup.schema.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 4, 24
"c:\Users\chris\Desktop\dandilion\src\shared\schemas\settings.schema.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\chris\Desktop\dandilion\src\shared\schemas\tabs.schema.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\chris\Desktop\dandilion\src\shared\types\events.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 19, 0, 26
"c:\Users\chris\Desktop\dandilion\src\shared\types\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\chris\Desktop\dandilion\src\shared\types\popup.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 3, 25
"c:\Users\chris\Desktop\dandilion\src\shared\types\settings.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\chris\Desktop\dandilion\src\shared\types\tab.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\chris\Desktop\dandilion\src\shared\types\update.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 20, 2, 42
"c:\Users\chris\Desktop\dandilion\src\shared\types\window.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\chris\Desktop\dandilion\src\shared\utils\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
